Client ID,Town,State
2,Tlalnepantla,Ciudad de Mexico
4,Tlalnepantla,Ciudad de Mexico
10,Tlalnepantla,Ciudad de Mexico
12,Villahermosa,Tabasco
13,Tuxtla Gutierrez,Chiapas
14,Tuxtla Gutierrez,Chiapas
15,Tuxtla Gutierrez,Chiapas
16,Pachuca,Hidalgo
17,Pachuca,Hidalgo
21,Pachuca,Hidalgo
23,Guadalajara,Jalisco
24,Guadalajara,Jalisco
25,Gustavo A. Madero,Ciudad de Mexico
26,Gustavo A. Madero,Ciudad de Mexico
28,Gustavo A. Madero,Ciudad de Mexico
30,Gustavo A. Madero,Ciudad de Mexico
32,Gustavo A. Madero,Ciudad de Mexico
33,Gustavo A. Madero,Ciudad de Mexico
35,Leon,Guanajuato
38,Leon,Guanajuato
44,Leon,Guanajuato
45,Guadalajara,Jalisco
46,Guadalajara,Jalisco
48,Guadalajara,Jalisco
51,Tuxtla Gutierrez,Chiapas
54,Nezahualcoyotl,Estado de Mexico
56,Nezahualcoyotl,Estado de Mexico
58,Nezahualcoyotl,Estado de Mexico
64,Tlalnepantla,Estado de Mexico
72,Tlalnepantla,Estado de Mexico
82,Tlalnepantla,Estado de Mexico
83,Naucalpan de Juarez,Estado de Mexico
86,Naucalpan de Juarez,Estado de Mexico
87,Guadalajara,Jalisco
89,Guadalajara,Jalisco
93,Guadalajara,Jalisco
95,Guadalajara,Jalisco
101,Guadalajara,Jalisco
118,Guadalajara,Jalisco
130,Alvaro Obregon,Ciudad de Mexico
136,Alvaro Obregon,Ciudad de Mexico
145,Alvaro Obregon,Ciudad de Mexico
152,Tepic,Nayarit
160,Tepic,Nayarit
162,Tepic,Nayarit
163,Tepic,Nayarit
167,Tepic,Nayarit
173,Tepic,Nayarit
183,Xalisco,Nayarit
186,Xalisco,Nayarit
192,Salamanca,Guanajuato
199,Salamanca,Guanajuato
207,Salamanca,Guanajuato
234,Silao,Guanajuato
266,Campeche,Campeche
289,Campeche,Campeche
291,Campeche,Campeche
292,Zacatecas,Zacatecas
299,Zacatecas,Zacatecas
300,Zacatecas,Zacatecas
301,Iztapalapa,Ciudad de Mexico
303,Iztapalapa,Ciudad de Mexico
306,Iztapalapa,Ciudad de Mexico
317,Cuauhtemoc,Ciudad de Mexico
323,Cuauhtemoc,Ciudad de Mexico
328,Cuauhtemoc,Ciudad de Mexico
329,Acapulco,Guerrero
330,Acapulco,Guerrero
335,Acapulco,Guerrero
