Client ID,Quarter,Month,Year,Monthly Points,Quarter Bonus 1,Quarter Bonus 2,Yearly Bonus 1
2,1,1,2020,0,0,0,0
10,1,1,2020,475,0,0,0
12,1,1,2020,1516,0,0,0
14,1,1,2020,1348,0,0,0
16,1,1,2020,228,0,0,0
17,1,1,2020,747,0,0,0
21,1,1,2020,943,0,0,0
23,1,1,2020,462,0,0,0
25,1,1,2020,4146,0,0,0
26,1,1,2020,112,0,0,0
28,1,1,2020,0,0,0,0
30,1,1,2020,251,0,0,0
32,1,1,2020,0,0,0,0
35,1,1,2020,383,0,0,0
38,1,1,2020,134,0,0,0
44,1,1,2020,673,0,0,0
45,1,1,2020,0,0,0,0
46,1,1,2020,0,0,0,0
48,1,1,2020,0,0,0,0
54,1,1,2020,450,0,0,0
56,1,1,2020,0,0,0,0
58,1,1,2020,108,0,0,0
64,1,1,2020,737,0,0,0
72,1,1,2020,60,0,0,0
83,1,1,2020,170,0,0,0
86,1,1,2020,136,0,0,0
87,1,1,2020,104,0,0,0
89,1,1,2020,121,0,0,0
93,1,1,2020,232,0,0,0
101,1,1,2020,448,0,0,0
118,1,1,2020,60,0,0,0
130,1,1,2020,0,0,0,0
145,1,1,2020,553,0,0,0
152,1,1,2020,261,0,0,0
160,1,1,2020,238,0,0,0
162,1,1,2020,437,0,0,0
163,1,1,2020,272,0,0,0
183,1,1,2020,1987,0,0,0
186,1,1,2020,111,0,0,0
192,1,1,2020,2778,0,0,0
199,1,1,2020,0,0,0,0
207,1,1,2020,153,0,0,0
266,1,1,2020,101,0,0,0
289,1,1,2020,1383,0,0,0
291,1,1,2020,110,0,0,0
292,1,1,2020,170,0,0,0
299,1,1,2020,111,0,0,0
300,1,1,2020,88,0,0,0
301,1,1,2020,671,0,0,0
303,1,1,2020,195,0,0,0
306,1,1,2020,667,0,0,0
317,1,1,2020,753,0,0,0
323,1,1,2020,494,0,0,0
328,1,1,2020,510,0,0,0
329,1,1,2020,2504,0,0,0
335,1,1,2020,2527,0,0,0
336,1,1,2020,0,0,0,0
347,1,1,2020,0,0,0,0
350,1,1,2020,294,0,0,0
351,1,1,2020,0,0,0,0
361,1,1,2020,442,0,0,0
369,1,1,2020,164,0,0,0
371,1,1,2020,1084,0,0,0
381,1,1,2020,0,0,0,0
383,1,1,2020,366,0,0,0
384,1,1,2020,1708,0,0,0
385,1,1,2020,0,0,0,0
388,1,1,2020,331,0,0,0
389,1,1,2020,0,0,0,0
392,1,1,2020,221,0,0,0
393,1,1,2020,232,0,0,0
402,1,1,2020,0,0,0,0
403,1,1,2020,0,0,0,0
404,1,1,2020,52,0,0,0
420,1,1,2020,376,0,0,0
425,1,1,2020,160,0,0,0
429,1,1,2020,422,0,0,0
434,1,1,2020,606,0,0,0
437,1,1,2020,95,0,0,0
451,1,1,2020,0,0,0,0
452,1,1,2020,1149,0,0,0
453,1,1,2020,157,0,0,0
475,1,1,2020,94,0,0,0
478,1,1,2020,223,0,0,0
485,1,1,2020,868,0,0,0
486,1,1,2020,262,0,0,0
492,1,1,2020,245,0,0,0
498,1,1,2020,603,0,0,0
505,1,1,2020,0,0,0,0
524,1,1,2020,453,0,0,0
533,1,1,2020,610,0,0,0
549,1,1,2020,0,0,0,0
555,1,1,2020,643,0,0,0
563,1,1,2020,0,0,0,0
567,1,1,2020,0,0,0,0
578,1,1,2020,0,0,0,0
579,1,1,2020,591,0,0,0
581,1,1,2020,0,0,0,0
584,1,1,2020,422,0,0,0
592,1,1,2020,115,0,0,0
594,1,1,2020,115,0,0,0
597,1,1,2020,1558,0,0,0
598,1,1,2020,0,0,0,0
602,1,1,2020,3040,0,0,0
608,1,1,2020,119,0,0,0
614,1,1,2020,116,0,0,0
621,1,1,2020,201,0,0,0
622,1,1,2020,262,0,0,0
624,1,1,2020,433,0,0,0
631,1,1,2020,0,0,0,0
634,1,1,2020,1168,0,0,0
645,1,1,2020,263,0,0,0
646,1,1,2020,3314,0,0,0
647,1,1,2020,59,0,0,0
648,1,1,2020,253,0,0,0
653,1,1,2020,0,0,0,0
658,1,1,2020,0,0,0,0
663,1,1,2020,160,0,0,0
666,1,1,2020,2647,0,0,0
672,1,1,2020,463,0,0,0
673,1,1,2020,349,0,0,0
674,1,1,2020,0,0,0,0
675,1,1,2020,116,0,0,0
678,1,1,2020,636,0,0,0
679,1,1,2020,450,0,0,0
682,1,1,2020,0,0,0,0
690,1,1,2020,15,0,0,0
693,1,1,2020,396,0,0,0
697,1,1,2020,157,0,0,0
698,1,1,2020,0,0,0,0
711,1,1,2020,0,0,0,0
712,1,1,2020,1217,0,0,0
717,1,1,2020,568,0,0,0
720,1,1,2020,587,0,0,0
722,1,1,2020,0,0,0,0
724,1,1,2020,2873,0,0,0
727,1,1,2020,51,0,0,0
729,1,1,2020,3742,0,0,0
730,1,1,2020,0,0,0,0
735,1,1,2020,0,0,0,0
739,1,1,2020,0,0,0,0
741,1,1,2020,459,0,0,0
742,1,1,2020,401,0,0,0
743,1,1,2020,194,0,0,0
744,1,1,2020,288,0,0,0
745,1,1,2020,319,0,0,0
748,1,1,2020,243,0,0,0
751,1,1,2020,0,0,0,0
753,1,1,2020,509,0,0,0
757,1,1,2020,299,0,0,0
761,1,1,2020,246,0,0,0
762,1,1,2020,237,0,0,0
763,1,1,2020,1604,0,0,0
764,1,1,2020,0,0,0,0
765,1,1,2020,0,0,0,0
766,1,1,2020,0,0,0,0
767,1,1,2020,268,0,0,0
772,1,1,2020,0,0,0,0
774,1,1,2020,190,0,0,0
775,1,1,2020,353,0,0,0
776,1,1,2020,0,0,0,0
778,1,1,2020,0,0,0,0
781,1,1,2020,402,0,0,0
784,1,1,2020,0,0,0,0
795,1,1,2020,254,0,0,0
798,1,1,2020,800,0,0,0
802,1,1,2020,231,0,0,0
803,1,1,2020,103,0,0,0
804,1,1,2020,0,0,0,0
805,1,1,2020,159,0,0,0
806,1,1,2020,0,0,0,0
811,1,1,2020,335,0,0,0
815,1,1,2020,0,0,0,0
816,1,1,2020,9,0,0,0
821,1,1,2020,196,0,0,0
822,1,1,2020,60,0,0,0
826,1,1,2020,492,0,0,0
837,1,1,2020,31,0,0,0
848,1,1,2020,1490,0,0,0
850,1,1,2020,0,0,0,0
855,1,1,2020,117,0,0,0
865,1,1,2020,0,0,0,0
867,1,1,2020,278,0,0,0
875,1,1,2020,244,0,0,0
879,1,1,2020,976,0,0,0
883,1,1,2020,244,0,0,0
884,1,1,2020,0,0,0,0
886,1,1,2020,832,0,0,0
888,1,1,2020,120,0,0,0
892,1,1,2020,37,0,0,0
894,1,1,2020,0,0,0,0
898,1,1,2020,0,0,0,0
899,1,1,2020,0,0,0,0
903,1,1,2020,51,0,0,0
904,1,1,2020,0,0,0,0
907,1,1,2020,10,0,0,0
908,1,1,2020,0,0,0,0
911,1,1,2020,0,0,0,0
914,1,1,2020,224,0,0,0
918,1,1,2020,3166,0,0,0
919,1,1,2020,0,0,0,0
923,1,1,2020,0,0,0,0
924,1,1,2020,292,0,0,0
925,1,1,2020,222,0,0,0
927,1,1,2020,99,0,0,0
929,1,1,2020,0,0,0,0
933,1,1,2020,300,0,0,0
939,1,1,2020,0,0,0,0
952,1,1,2020,1010,0,0,0
954,1,1,2020,0,0,0,0
959,1,1,2020,203,0,0,0
961,1,1,2020,579,0,0,0
962,1,1,2020,215,0,0,0
969,1,1,2020,91,0,0,0
971,1,1,2020,324,0,0,0
975,1,1,2020,2345,0,0,0
977,1,1,2020,0,0,0,0
978,1,1,2020,318,0,0,0
983,1,1,2020,267,0,0,0
985,1,1,2020,0,0,0,0
987,1,1,2020,0,0,0,0
988,1,1,2020,426,0,0,0
989,1,1,2020,13,0,0,0
996,1,1,2020,402,0,0,0
999,1,1,2020,0,0,0,0
1000,1,1,2020,136,0,0,0
1005,1,1,2020,0,0,0,0
1006,1,1,2020,382,0,0,0
1008,1,1,2020,143,0,0,0
1015,1,1,2020,295,0,0,0
1018,1,1,2020,99,0,0,0
1019,1,1,2020,0,0,0,0
1022,1,1,2020,441,0,0,0
1026,1,1,2020,126,0,0,0
1027,1,1,2020,369,0,0,0
1028,1,1,2020,1815,0,0,0
1031,1,1,2020,98,0,0,0
1032,1,1,2020,261,0,0,0
1044,1,1,2020,210,0,0,0
1046,1,1,2020,221,0,0,0
1054,1,1,2020,0,0,0,0
1056,1,1,2020,292,0,0,0
1057,1,1,2020,0,0,0,0
1060,1,1,2020,213,0,0,0
1064,1,1,2020,0,0,0,0
1065,1,1,2020,301,0,0,0
1068,1,1,2020,72,0,0,0
1070,1,1,2020,105,0,0,0
1072,1,1,2020,131,0,0,0
1074,1,1,2020,0,0,0,0
1085,1,1,2020,419,0,0,0
1089,1,1,2020,0,0,0,0
1090,1,1,2020,507,0,0,0
1091,1,1,2020,441,0,0,0
1093,1,1,2020,0,0,0,0
1094,1,1,2020,276,0,0,0
1095,1,1,2020,122,0,0,0
1096,1,1,2020,312,0,0,0
1097,1,1,2020,398,0,0,0
1104,1,1,2020,603,0,0,0
1112,1,1,2020,78,0,0,0
1113,1,1,2020,343,0,0,0
1114,1,1,2020,155,0,0,0
1115,1,1,2020,0,0,0,0
1118,1,1,2020,688,0,0,0
1122,1,1,2020,0,0,0,0
1132,1,1,2020,110,0,0,0
