Client ID,Quarter,Category,Distributor,Month,Year,Min Monthly Sales,A,B,C
2,1,C4,D5,1,2018,"$59,000.00","$13,899.34",$0.00,"$38,052.45"
4,1,C2,D13,1,2018,"$23,000.00","$10,681.36",$0.00,"$1,156.10"
10,1,C4,D12,1,2018,"$59,000.00","$30,700.00",$0.00,"$45,971.00"
12,1,C6,D10,1,2018,"$183,000.00","$226,788.54","$75,362.20","$67,693.39"
13,1,C4,D13,1,2018,"$59,000.00","$60,188.07","$17,341.94","$25,183.22"
14,1,C6,D5,1,2018,"$183,000.00","$199,922.43","$24,287.14","$36,668.70"
15,1,C5,D3,1,2018,"$115,000.00","$112,374.21","$6,152.78","$52,522.22"
16,1,C3,D8,1,2018,"$41,000.00","$20,320.14","$2,885.46","$16,041.20"
17,1,C5,D13,1,2018,"$115,000.00","$46,468.11","$1,006.20","$18,665.42"
21,1,C4,D5,1,2018,"$59,000.00","$18,651.57",$0.00,"$25,046.32"
23,1,C6,D2,1,2018,"$183,000.00","$144,860.00","$20,522.00","$33,747.00"
24,1,C2,D5,1,2018,"$23,000.00","$15,141.36",$0.00,"$13,439.15"
25,1,C5,D13,1,2018,"$115,000.00","$84,357.66",$0.00,"$107,870.46"
26,1,C2,D13,1,2018,"$23,000.00","$25,727.24","$5,899.80","$6,320.91"
28,1,C4,D2,1,2018,"$59,000.00","$19,866.00","$1,874.00","$11,989.00"
30,1,C3,D13,1,2018,"$41,000.00","$34,277.03","$13,672.00","$69,606.54"
32,1,C2,D11,1,2018,"$23,000.00","$7,223.15","$2,592.47","$18,178.74"
33,1,C2,D11,1,2018,"$23,000.00","$13,016.35","$1,989.83","$12,701.35"
35,1,C5,D8,1,2018,"$115,000.00","$92,383.03","$25,397.04","$23,089.43"
38,1,C3,D13,1,2018,"$41,000.00","$34,365.07","$5,742.03","$23,415.73"
44,1,C3,D8,1,2018,"$41,000.00","$40,606.12",$0.00,"$61,299.73"
45,1,C6,D10,1,2018,"$183,000.00","$161,308.55","$5,518.70","$97,442.40"
46,1,C6,D10,1,2018,"$183,000.00","$179,725.92","$33,612.64","$52,294.09"
48,1,C6,D10,1,2018,"$183,000.00","$489,781.49","$60,148.50","$174,137.52"
51,1,C2,D10,1,2018,"$23,000.00","$22,046.70",$0.00,"$3,245.87"
54,1,C3,D10,1,2018,"$41,000.00","$25,694.38",$0.00,"$33,464.70"
56,1,C2,D2,1,2018,"$23,000.00","$29,141.00","$2,519.00","$16,232.00"
58,1,C1,D5,1,2018,"$11,000.00","$27,933.62",$0.00,"$12,761.39"
64,1,C6,D10,1,2018,"$183,000.00","$144,127.77","$18,148.46","$36,760.02"
72,1,C2,D3,1,2018,"$23,000.00","$16,360.51",$0.00,"$11,864.01"
82,1,C1,D5,1,2018,"$11,000.00","$15,089.68",$0.00,"$2,347.14"
83,1,C2,D5,1,2018,"$23,000.00","$18,601.30",$0.00,"$14,652.44"
86,1,C2,D2,1,2018,"$23,000.00","$40,999.16",$0.00,"$9,016.74"
87,1,C3,D5,1,2018,"$41,000.00","$24,632.61","$3,893.57","$29,802.60"
89,1,C2,D2,1,2018,"$23,000.00","$21,390.77","$5,726.49","$15,459.83"
93,1,C2,D10,1,2018,"$23,000.00","$17,836.33",$919.58,"$11,655.27"
95,1,C1,D10,1,2018,"$11,000.00","$18,906.17","$1,423.46","$6,188.96"
101,1,C3,D2,1,2018,"$41,000.00","$63,567.58","$5,188.18","$31,993.39"
118,1,C3,D13,1,2018,"$41,000.00","$26,768.54","$2,232.56","$28,708.30"
130,1,C3,D9,1,2018,"$41,000.00","$25,342.20","$1,386.05","$7,766.25"
136,1,C2,D2,1,2018,"$23,000.00","$2,279.76",$0.00,"$15,032.72"
145,1,C4,D2,1,2018,"$59,000.00","$121,766.56","$15,314.43","$54,688.54"
160,1,C3,D2,1,2018,"$41,000.00","$7,111.00",$0.00,"$12,473.00"
162,1,C5,D2,1,2018,"$115,000.00","$168,497.01","$39,965.49","$84,310.62"
163,1,C2,D8,1,2018,"$23,000.00","$16,213.56","$1,018.88","$20,732.45"
167,1,C2,D13,1,2018,"$23,000.00",$0.00,$0.00,"$24,989.78"
173,1,C1,D8,1,2018,"$11,000.00","$1,951.46",$0.00,"$2,776.80"
183,1,C5,D8,1,2018,"$115,000.00","$56,746.72",$0.00,"$52,853.96"
186,1,C2,D8,1,2018,"$23,000.00","$26,897.07","$1,498.32","$1,407.12"
192,1,C6,D8,1,2018,"$183,000.00","$284,250.45","$69,664.85","$114,917.20"
199,1,C4,D13,1,2018,"$59,000.00","$73,984.59","$4,785.28","$73,644.52"
207,1,C4,D5,1,2018,"$59,000.00","$95,418.47","$4,760.51","$15,409.05"
